"Transfer
ID","API Call","API Start Time
(μs)","API Duration
(μs)","Latency
(μs)","GPU Start Time
(μs)","GPU Duration
(μs)","Command
Buffer ID","Render
Context ID","Device
Context ID","Process
ID"
"0","glTexSubImage3D","2,969,430.142","99.698","8,499.546","2,977,929.688","15.744","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"1","glTexSubImage3D","2,969,530.320","40.130","8,415.624","2,977,945.944","15.552","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"2","glTexSubImage3D","2,969,576.628","27.483","8,385.412","2,977,962.040","15.680","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"3","glTexSubImage3D","2,969,604.478","25.091","8,373.786","2,977,978.264","16.800","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"4","glTexSubImage3D","2,969,629.911","24.907","8,363.906","2,977,993.817","16.768","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"5","glTexSubImage3D","2,969,655.153","24.699","8,356.008","2,978,011.161","15.520","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"6","glTexSubImage3D","2,969,680.436","24.159","8,346.757","2,978,027.193","15.680","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"7","glTexSubImage3D","2,969,704.879","2,055.640","8,339.018","2,978,043.897","0.512","10","0x20000","0xFFFFFFFFA0010F2D","8732"
"7","glTexSubImage3D","2,969,704.879","2,055.640","8,354.218","2,978,059.097","15.520","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"8","glTexSubImage3D","2,971,764.702","113.616","6,310.587","2,978,075.289","15.520","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"9","glTexSubImage3D","2,971,879.309","51.627","6,212.012","2,978,091.321","15.520","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"10","glTexSubImage3D","2,971,931.543","44.353","6,175.842","2,978,107.385","15.488","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"11","glTexSubImage3D","2,971,976.282","50.562","6,147.135","2,978,123.417","16.128","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"12","glTexSubImage3D","2,972,027.405","34.374","6,112.908","2,978,140.313","15.489","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"13","glTexSubImage3D","2,972,063.606","27.861","6,092.707","2,978,156.313","15.520","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"14","glTexSubImage3D","2,972,091.857","24.555","6,080.489","2,978,172.346","16.864","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"15","glTexSubImage3D","2,972,117.038","30.998","6,070.892","2,978,187.930","16.800","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"16","glTexSubImage3D","2,972,148.659","26.973","6,056.647","2,978,205.306","15.488","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"17","glTexSubImage3D","2,972,176.720","33.502","6,044.586","2,978,221.306","15.552","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"18","glTexSubImage3D","2,972,210.600","29.569","6,026.770","2,978,237.370","15.488","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"19","glTexSubImage3D","2,972,240.476","20.867","6,012.926","2,978,253.402","15.488","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"20","glTexSubImage3D","2,972,262.001","34.005","6,007.433","2,978,269.434","15.488","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"21","glTexSubImage3D","2,972,297.131","23.921","5,988.303","2,978,285.434","15.520","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"22","glTexSubImage3D","2,972,321.427","257.051","5,980.711","2,978,302.138","0.512","11","0x20000","0xFFFFFFFFA0010F2D","8732"
"22","glTexSubImage3D","2,972,321.427","257.051","5,995.399","2,978,316.826","15.713","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"23","glTexSubImage3D","2,972,579.984","86.462","5,753.066","2,978,333.050","15.489","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"24","glTexSubImage3D","2,972,667.089","47.238","5,681.994","2,978,349.083","15.520","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"25","glTexSubImage3D","2,972,714.797","22.252","5,650.318","2,978,365.115","15.520","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"26","glTexSubImage3D","2,972,737.385","22.776","5,643.762","2,978,381.147","15.488","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"27","glTexSubImage3D","2,972,760.480","22.221","5,636.667","2,978,397.147","15.520","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"28","glTexSubImage3D","2,972,783.094","153.787","5,630.085","2,978,413.179","15.520","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"29","glTexSubImage3D","2,972,937.409","78.252","5,491.866","2,978,429.275","15.520","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"30","glTexSubImage3D","2,973,016.753","27.609","5,428.554","2,978,445.307","15.680","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"31","glTexSubImage3D","2,973,044.754","26.217","5,416.745","2,978,461.499","15.520","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"32","glTexSubImage3D","2,973,071.277","21.860","5,406.542","2,978,477.819","15.489","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"33","glTexSubImage3D","2,973,093.423","21.993","5,400.396","2,978,493.819","15.489","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"34","glTexSubImage3D","2,973,115.743","20.498","5,394.109","2,978,509.852","15.488","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"35","glTexSubImage3D","2,973,136.526","23.315","5,389.326","2,978,525.852","15.648","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"36","glTexSubImage3D","2,973,160.131","24.602","5,382.073","2,978,542.204","15.488","12","0x20000","0xFFFFFFFFA0010F2D","8732"
"37","glTexSubImage3D","2,973,185.059","23.322","5,373.145","2,978,558.204","16.768","12","0x20000","0xFFFFFFFFA0010F2D","8732"
