"Transfer
ID","API Call","API Start Time
(μs)","API Duration
(μs)","Latency
(μs)","GPU Start Time
(μs)","GPU Duration
(μs)","Command
Buffer ID","Render
Context ID","Device
Context ID","Process
ID"
"0","glTexSubImage3D","817,851.944","190.001","1,638.666","819,490.610","64.321","9","0x20000","0x18010EF9","3468"
"1","glTexSubImage3D","818,042.823","375.223","1,512.780","819,555.603","46.368","9","0x20000","0x18010EF9","3468"
"1","glTexSubImage3D","818,042.823","375.223","1,681.901","819,724.724","17.536","10","0x20000","0x18010EF9","3468"
"2","glTexSubImage3D","818,460.774","77.618","1,282.158","819,742.932","61.280","10","0x20000","0x18010EF9","3468"
"3","glTexSubImage3D","818,539.687","79.279","1,265.037","819,804.724","63.456","10","0x20000","0x18010EF9","3468"
"4","glTexSubImage3D","818,619.357","62.708","1,247.287","819,866.644","66.689","10","0x20000","0x18010EF9","3468"
"5","glTexSubImage3D","818,682.330","307.601","1,252.091","819,934.421","0.544","10","0x20000","0x18010EF9","3468"
"5","glTexSubImage3D","818,682.330","307.601","3,456.776","822,139.106","64.545","11","0x20000","0x18010EF9","3468"
"6","glTexSubImage3D","818,990.305","131.479","3,214.113","822,204.418","66.561","11","0x20000","0x18010EF9","3468"
"7","glTexSubImage3D","819,122.197","63.553","3,149.390","822,271.587","68.448","11","0x20000","0x18010EF9","3468"
"8","glTexSubImage3D","819,186.156","60.983","3,154.552","822,340.708","64.480","11","0x20000","0x18010EF9","3468"
"9","glTexSubImage3D","819,247.396","59.999","3,156.064","822,403.460","62.976","11","0x20000","0x18010EF9","3468"
"10","glTexSubImage3D","819,307.655","138.030","3,159.293","822,466.948","61.248","11","0x20000","0x18010EF9","3468"
"11","glTexSubImage3D","819,446.079","62.165","3,082.661","822,528.740","61.313","11","0x20000","0x18010EF9","3468"
"12","glTexSubImage3D","819,508.651","453.691","3,082.138","822,590.789","61.376","11","0x20000","0x18010EF9","3468"
"13","glTexSubImage3D","819,963.689","104.999","2,689.116","822,652.805","61.249","11","0x20000","0x18010EF9","3468"
"14","glTexSubImage3D","820,069.092","61.212","2,645.538","822,714.630","61.248","11","0x20000","0x18010EF9","3468"
"15","glTexSubImage3D","820,130.932","142.814","2,645.554","822,776.486","62.368","11","0x20000","0x18010EF9","3468"
"16","glTexSubImage3D","820,274.179","55.980","2,563.587","822,837.766","62.337","11","0x20000","0x18010EF9","3468"
"17","glTexSubImage3D","820,330.410","62.165","2,570.237","822,900.647","61.440","11","0x20000","0x18010EF9","3468"
"18","glTexSubImage3D","820,392.828","53.950","2,569.931","822,962.759","61.792","11","0x20000","0x18010EF9","3468"
"19","glTexSubImage3D","820,447.034","323.022","2,578.862","823,025.896","0.704","11","0x20000","0x18010EF9","3468"
"19","glTexSubImage3D","820,447.034","323.022","2,682.222","823,129.256","61.601","12","0x20000","0x18010EF9","3468"
"20","glTexSubImage3D","820,770.518","60.052","2,420.914","823,191.432","61.249","12","0x20000","0x18010EF9","3468"
"21","glTexSubImage3D","820,830.926","59.463","2,422.299","823,253.225","61.376","12","0x20000","0x18010EF9","3468"
"22","glTexSubImage3D","820,890.647","207.837","2,424.530","823,315.177","62.369","12","0x20000","0x18010EF9","3468"
"23","glTexSubImage3D","821,098.845","94.673","2,277.613","823,376.458","62.304","12","0x20000","0x18010EF9","3468"
"24","glTexSubImage3D","821,194.525","93.711","2,244.781","823,439.306","61.248","12","0x20000","0x18010EF9","3468"
"25","glTexSubImage3D","821,289.677","101.762","2,211.421","823,501.098","61.217","12","0x20000","0x18010EF9","3468"
"26","glTexSubImage3D","821,392.435","347.836","2,170.968","823,563.403","0.544","12","0x20000","0x18010EF9","3468"
"26","glTexSubImage3D","821,392.435","347.836","2,186.872","823,579.307","61.248","13","0x20000","0x18010EF9","3468"
"27","glTexSubImage3D","821,740.707","178.030","1,900.360","823,641.067","61.249","13","0x20000","0x18010EF9","3468"
"28","glTexSubImage3D","821,919.245","74.869","1,783.615","823,702.860","61.248","13","0x20000","0x18010EF9","3468"
"29","glTexSubImage3D","821,994.521","112.727","1,770.131","823,764.652","62.336","13","0x20000","0x18010EF9","3468"
"30","glTexSubImage3D","822,107.861","98.849","1,718.039","823,825.900","62.305","13","0x20000","0x18010EF9","3468"
"31","glTexSubImage3D","822,207.867","113.646","1,680.850","823,888.717","62.176","13","0x20000","0x18010EF9","3468"
